"","chromosome","position","type"
"chr2_951929","chr2",951929,"exon"
"chr2_61831","chr2",61831,"noncoding"
"chr2_546807","chr2",546807,"noncoding"
"chr2_277662","chr2",277662,"noncoding"
"chr2_382990","chr2",382990,"noncoding"
"chr2_923062","chr2",923062,"noncoding"
"chr2_429315","chr2",429315,"noncoding"
"chr2_373566","chr2",373566,"intron"
"chr2_806620","chr2",806620,"exon"
"chr2_815999","chr2",815999,"exon"
"chr2_943015","chr2",943015,"noncoding"
"chr2_432028","chr2",432028,"exon"
"chr2_154426","chr2",154426,"intron"
"chr2_268270","chr2",268270,"intron"
"chr2_498492","chr2",498492,"exon"
"chr2_187395","chr2",187395,"intron"
"chr2_267411","chr2",267411,"intron"
"chr2_871313","chr2",871313,"intron"
"chr2_137461","chr2",137461,"intron"
"chr2_105882","chr2",105882,"intron"
"chr2_310067","chr2",310067,"noncoding"
"chr2_638101","chr2",638101,"noncoding"
"chr2_680651","chr2",680651,"exon"
"chr2_332988","chr2",332988,"exon"
"chr2_426079","chr2",426079,"noncoding"
"chr2_970458","chr2",970458,"exon"
"chr2_659715","chr2",659715,"exon"
"chr2_122657","chr2",122657,"exon"
"chr2_988797","chr2",988797,"noncoding"
"chr2_522054","chr2",522054,"exon"
"chr2_62019","chr2",62019,"noncoding"
"chr2_149553","chr2",149553,"noncoding"
"chr2_777929","chr2",777929,"noncoding"
"chr2_294619","chr2",294619,"noncoding"
"chr2_440380","chr2",440380,"intron"
"chr2_593008","chr2",593008,"intron"
"chr2_838740","chr2",838740,"exon"
"chr2_372829","chr2",372829,"exon"
"chr2_285049","chr2",285049,"intron"
"chr2_686514","chr2",686514,"intron"
"chr2_264587","chr2",264587,"intron"
"chr2_620119","chr2",620119,"exon"
"chr2_347323","chr2",347323,"noncoding"
"chr2_833380","chr2",833380,"exon"
"chr2_877418","chr2",877418,"noncoding"
"chr2_721907","chr2",721907,"exon"
"chr2_781796","chr2",781796,"exon"
"chr2_175288","chr2",175288,"intron"
"chr2_833687","chr2",833687,"intron"
"chr2_78883","chr2",78883,"noncoding"
"chr2_499724","chr2",499724,"exon"
"chr2_842201","chr2",842201,"intron"
"chr2_170934","chr2",170934,"exon"
"chr2_147263","chr2",147263,"intron"
"chr2_642051","chr2",642051,"intron"
"chr2_570431","chr2",570431,"noncoding"
"chr2_993311","chr2",993311,"noncoding"
"chr3_832716","chr3",832716,"intron"
"chr3_130823","chr3",130823,"noncoding"
"chr3_250406","chr3",250406,"noncoding"
"chr3_916860","chr3",916860,"exon"
"chr3_361273","chr3",361273,"exon"
"chr3_146034","chr3",146034,"noncoding"
"chr3_14860","chr3",14860,"noncoding"
"chr3_708245","chr3",708245,"noncoding"
"chr3_457503","chr3",457503,"noncoding"
"chr3_424043","chr3",424043,"exon"
"chr3_781478","chr3",781478,"exon"
"chr3_936319","chr3",936319,"intron"
"chr3_944111","chr3",944111,"exon"
"chr3_937475","chr3",937475,"intron"
"chr3_481100","chr3",481100,"exon"
"chr3_784251","chr3",784251,"exon"
"chr3_737136","chr3",737136,"noncoding"
"chr3_637760","chr3",637760,"intron"
"chr3_153745","chr3",153745,"intron"
"chr3_335030","chr3",335030,"noncoding"
"chr3_420233","chr3",420233,"exon"
"chr3_255965","chr3",255965,"intron"
"chr3_768419","chr3",768419,"intron"
"chr3_703887","chr3",703887,"exon"
"chr3_518186","chr3",518186,"intron"
"chr3_496317","chr3",496317,"exon"
"chr3_519428","chr3",519428,"noncoding"
"chr3_445740","chr3",445740,"intron"
"chr3_388013","chr3",388013,"noncoding"
"chr3_271364","chr3",271364,"intron"
"chr3_287369","chr3",287369,"intron"
"chr3_925988","chr3",925988,"noncoding"
"chr3_157257","chr3",157257,"intron"
"chr3_39592","chr3",39592,"noncoding"
"chr3_553711","chr3",553711,"noncoding"
"chr3_193503","chr3",193503,"noncoding"
"chr3_678046","chr3",678046,"noncoding"
"chr3_994160","chr3",994160,"noncoding"
"chr3_954419","chr3",954419,"intron"
"chr3_823404","chr3",823404,"noncoding"
"chr3_234519","chr3",234519,"intron"
"chr3_604014","chr3",604014,"exon"
"chr3_928740","chr3",928740,"exon"
"chr3_456933","chr3",456933,"intron"
"chr3_665610","chr3",665610,"exon"
"chr3_347751","chr3",347751,"noncoding"
"chr3_296719","chr3",296719,"exon"
"chr3_119815","chr3",119815,"intron"
"chr3_960828","chr3",960828,"intron"
"chr3_20826","chr3",20826,"intron"
"chr3_989292","chr3",989292,"noncoding"
"chr3_988857","chr3",988857,"exon"
"chr3_309438","chr3",309438,"exon"
"chr3_28452","chr3",28452,"noncoding"
"chr3_163766","chr3",163766,"exon"
"chr3_830838","chr3",830838,"exon"
"chr3_191141","chr3",191141,"noncoding"
"chr3_437705","chr3",437705,"intron"
"chr3_859675","chr3",859675,"exon"
"chr3_875897","chr3",875897,"exon"
"chr3_118621","chr3",118621,"exon"
"chr3_462110","chr3",462110,"intron"
"chr3_196800","chr3",196800,"exon"
"chr3_299669","chr3",299669,"exon"
"chr3_986786","chr3",986786,"noncoding"
"chr3_96274","chr3",96274,"noncoding"
"chr3_226611","chr3",226611,"exon"
"chr3_690762","chr3",690762,"exon"
"chr3_651117","chr3",651117,"noncoding"
"chr3_602272","chr3",602272,"intron"
"chr3_728700","chr3",728700,"noncoding"
"chr3_560273","chr3",560273,"exon"
"chr3_215203","chr3",215203,"intron"
"chr3_428122","chr3",428122,"noncoding"
"chr3_732036","chr3",732036,"noncoding"
"chr3_862546","chr3",862546,"noncoding"
"chr3_279976","chr3",279976,"intron"
"chr3_309492","chr3",309492,"intron"
"chr3_914449","chr3",914449,"noncoding"
"chr3_618456","chr3",618456,"intron"
"chr3_349173","chr3",349173,"exon"
"chr3_120122","chr3",120122,"noncoding"
"chr3_904666","chr3",904666,"noncoding"
"chr3_466216","chr3",466216,"intron"
"chr3_806742","chr3",806742,"exon"
"chr3_519436","chr3",519436,"noncoding"
"chr3_25488","chr3",25488,"exon"
"chr3_772848","chr3",772848,"exon"
"chr3_430076","chr3",430076,"noncoding"
"chr3_513633","chr3",513633,"intron"
"chr3_379041","chr3",379041,"exon"
"chr3_72441","chr3",72441,"noncoding"
"chr3_51089","chr3",51089,"exon"
"chr3_985967","chr3",985967,"noncoding"
"chr3_396692","chr3",396692,"intron"
"chr3_342760","chr3",342760,"intron"
"chr3_248859","chr3",248859,"noncoding"
"chr3_824941","chr3",824941,"exon"
"chr3_727882","chr3",727882,"exon"
"chr3_947882","chr3",947882,"noncoding"
"chr4_882859","chr4",882859,"noncoding"
"chr4_649320","chr4",649320,"intron"
"chr4_939781","chr4",939781,"noncoding"
"chr4_490101","chr4",490101,"noncoding"
"chr4_607387","chr4",607387,"noncoding"
"chr4_249464","chr4",249464,"exon"
"chr4_390295","chr4",390295,"noncoding"
"chr4_516749","chr4",516749,"intron"
"chr4_724402","chr4",724402,"noncoding"
"chr4_92540","chr4",92540,"noncoding"
"chr4_861281","chr4",861281,"intron"
"chr4_131459","chr4",131459,"noncoding"
"chr4_531717","chr4",531717,"intron"
"chr4_612974","chr4",612974,"intron"
"chr4_412400","chr4",412400,"noncoding"
"chr4_735060","chr4",735060,"noncoding"
"chr4_542690","chr4",542690,"noncoding"
"chr4_817116","chr4",817116,"exon"
"chr4_894678","chr4",894678,"intron"
"chr4_632276","chr4",632276,"noncoding"
"chr4_560671","chr4",560671,"noncoding"
"chr4_65962","chr4",65962,"intron"
"chr4_460983","chr4",460983,"intron"
"chr4_239543","chr4",239543,"noncoding"
"chr4_857162","chr4",857162,"exon"
"chr4_381374","chr4",381374,"noncoding"
"chr4_192602","chr4",192602,"exon"
"chr4_955623","chr4",955623,"intron"
"chr4_760254","chr4",760254,"exon"
"chr4_43653","chr4",43653,"noncoding"
"chr4_623544","chr4",623544,"intron"
"chr4_27165","chr4",27165,"exon"
"chr4_998789","chr4",998789,"exon"
"chr4_924847","chr4",924847,"noncoding"
"chr4_499929","chr4",499929,"exon"
"chr4_822245","chr4",822245,"noncoding"
"chr4_739127","chr4",739127,"exon"
"chr4_930029","chr4",930029,"exon"
"chr4_14157","chr4",14157,"intron"
"chr4_493825","chr4",493825,"intron"
"chr4_848258","chr4",848258,"intron"
"chr4_586714","chr4",586714,"noncoding"
"chr4_362688","chr4",362688,"intron"
"chr4_328355","chr4",328355,"noncoding"
"chr4_600150","chr4",600150,"intron"
"chr4_605914","chr4",605914,"noncoding"
"chr4_385841","chr4",385841,"intron"
"chr4_590909","chr4",590909,"intron"
"chr4_332546","chr4",332546,"noncoding"
"chr4_662517","chr4",662517,"exon"
"chr4_226354","chr4",226354,"noncoding"
"chr4_63503","chr4",63503,"noncoding"
"chr4_913450","chr4",913450,"exon"
"chr4_762879","chr4",762879,"exon"
"chr4_841931","chr4",841931,"noncoding"
"chr4_819913","chr4",819913,"exon"
"chr4_595201","chr4",595201,"exon"
"chr4_747208","chr4",747208,"noncoding"
"chr4_198464","chr4",198464,"intron"
"chr4_165599","chr4",165599,"exon"
"chr4_75204","chr4",75204,"noncoding"
"chr4_449379","chr4",449379,"noncoding"
"chr4_438900","chr4",438900,"intron"
"chr4_992882","chr4",992882,"noncoding"
"chr4_237625","chr4",237625,"intron"
"chr4_967068","chr4",967068,"exon"
"chr4_75687","chr4",75687,"noncoding"
"chr4_757960","chr4",757960,"noncoding"
"chr4_457158","chr4",457158,"intron"
"chr4_504988","chr4",504988,"exon"
"chr4_195529","chr4",195529,"intron"
"chr4_182139","chr4",182139,"noncoding"
"chr4_588522","chr4",588522,"exon"
"chr4_171257","chr4",171257,"exon"
"chr4_226375","chr4",226375,"noncoding"
"chr4_113141","chr4",113141,"noncoding"
"chr4_109120","chr4",109120,"noncoding"
"chr4_873877","chr4",873877,"noncoding"
"chr4_312606","chr4",312606,"intron"
"chr4_536753","chr4",536753,"exon"
"chr4_844778","chr4",844778,"intron"
"chr4_679348","chr4",679348,"noncoding"
"chr4_935227","chr4",935227,"noncoding"
"chr4_576763","chr4",576763,"exon"
"chr4_903536","chr4",903536,"intron"
"chr4_526556","chr4",526556,"exon"
"chr4_566282","chr4",566282,"exon"
"chr4_971517","chr4",971517,"intron"
"chr4_450730","chr4",450730,"noncoding"
"chr4_99539","chr4",99539,"intron"
"chr4_486054","chr4",486054,"intron"
"chr4_832061","chr4",832061,"exon"
"chr4_82758","chr4",82758,"exon"
"chr4_869471","chr4",869471,"intron"
"chr4_222836","chr4",222836,"intron"
"chr4_933687","chr4",933687,"exon"
"chr4_355579","chr4",355579,"noncoding"
"chr4_314951","chr4",314951,"exon"
"chr4_134724","chr4",134724,"exon"
"chr4_457830","chr4",457830,"intron"
"chr5_253256","chr5",253256,"intron"
"chr5_336657","chr5",336657,"exon"
"chr5_954341","chr5",954341,"intron"
"chr5_709250","chr5",709250,"noncoding"
"chr5_872014","chr5",872014,"noncoding"
"chr5_376310","chr5",376310,"noncoding"
"chr5_767435","chr5",767435,"intron"
"chr5_942775","chr5",942775,"noncoding"
"chr5_130413","chr5",130413,"exon"
"chr5_46200","chr5",46200,"noncoding"
"chr5_84857","chr5",84857,"noncoding"
"chr5_702665","chr5",702665,"intron"
"chr5_184013","chr5",184013,"noncoding"
"chr5_213790","chr5",213790,"intron"
"chr5_4860","chr5",4860,"exon"
"chr5_458526","chr5",458526,"noncoding"
"chr5_848536","chr5",848536,"intron"
"chr5_525367","chr5",525367,"exon"
"chr5_263239","chr5",263239,"exon"
"chr5_58348","chr5",58348,"intron"
"chr5_366949","chr5",366949,"noncoding"
"chr5_40202","chr5",40202,"exon"
"chr5_372428","chr5",372428,"intron"
"chr5_502958","chr5",502958,"exon"
"chr5_739657","chr5",739657,"exon"
"chr5_65435","chr5",65435,"intron"
"chr5_139017","chr5",139017,"intron"
"chr5_928364","chr5",928364,"exon"
"chr5_517999","chr5",517999,"noncoding"
"chr5_239764","chr5",239764,"noncoding"
"chr5_487060","chr5",487060,"exon"
"chr5_267403","chr5",267403,"noncoding"
"chr5_363208","chr5",363208,"noncoding"
"chr5_336869","chr5",336869,"exon"
"chr5_116727","chr5",116727,"intron"
"chr5_217192","chr5",217192,"intron"
"chr5_31452","chr5",31452,"intron"
"chr5_785828","chr5",785828,"exon"
"chr5_922811","chr5",922811,"noncoding"
"chr5_314604","chr5",314604,"noncoding"
"chr5_694659","chr5",694659,"exon"
"chr5_985256","chr5",985256,"noncoding"
"chr5_21327","chr5",21327,"noncoding"
"chr5_982733","chr5",982733,"noncoding"
"chr5_726970","chr5",726970,"exon"
"chr5_366460","chr5",366460,"intron"
"chr5_75793","chr5",75793,"exon"
"chr5_352385","chr5",352385,"intron"
"chr5_2632","chr5",2632,"noncoding"
"chr5_919398","chr5",919398,"noncoding"
"chr5_983717","chr5",983717,"intron"
"chr5_65493","chr5",65493,"exon"
"chr5_410244","chr5",410244,"noncoding"
"chr5_229687","chr5",229687,"noncoding"
"chr5_227651","chr5",227651,"exon"
"chr5_862875","chr5",862875,"intron"
"chr5_211854","chr5",211854,"exon"
"chr5_934111","chr5",934111,"noncoding"
"chr5_321597","chr5",321597,"noncoding"
"chr5_715588","chr5",715588,"noncoding"
"chr5_120865","chr5",120865,"intron"
"chr5_161834","chr5",161834,"intron"
"chr5_242051","chr5",242051,"intron"
"chr5_955869","chr5",955869,"noncoding"
"chr5_788131","chr5",788131,"intron"
"chr5_215658","chr5",215658,"noncoding"
"chr5_789895","chr5",789895,"exon"
"chr5_192704","chr5",192704,"intron"
"chr5_683083","chr5",683083,"intron"
"chr5_146300","chr5",146300,"noncoding"
"chr5_566183","chr5",566183,"intron"
"chr5_836409","chr5",836409,"noncoding"
"chr5_195862","chr5",195862,"intron"
"chr5_507662","chr5",507662,"intron"
"chr5_128179","chr5",128179,"noncoding"
"chr5_707988","chr5",707988,"intron"
"chr5_492119","chr5",492119,"exon"
"chr5_493459","chr5",493459,"exon"
"chr5_801882","chr5",801882,"intron"
"chr5_929910","chr5",929910,"intron"
"chr5_917866","chr5",917866,"exon"
"chr5_380506","chr5",380506,"exon"
"chr5_632134","chr5",632134,"exon"
"chr5_644272","chr5",644272,"noncoding"
"chr5_949714","chr5",949714,"intron"
"chr5_480429","chr5",480429,"exon"
"chr5_654086","chr5",654086,"noncoding"
"chr5_646972","chr5",646972,"noncoding"
"chr5_406463","chr5",406463,"exon"
"chr5_941767","chr5",941767,"intron"
"chr5_277180","chr5",277180,"intron"
"chr5_334960","chr5",334960,"intron"
"chr5_104583","chr5",104583,"exon"
"chr5_838561","chr5",838561,"noncoding"
"chr5_70041","chr5",70041,"intron"
"chr5_567985","chr5",567985,"intron"
"chr5_541925","chr5",541925,"exon"
"chr5_872546","chr5",872546,"exon"
"chr5_205016","chr5",205016,"exon"
"chr5_627414","chr5",627414,"noncoding"
"chr6_203899","chr6",203899,"intron"
"chr6_435508","chr6",435508,"exon"
"chr6_894846","chr6",894846,"noncoding"
"chr6_597400","chr6",597400,"exon"
"chr6_291621","chr6",291621,"exon"
"chr6_652866","chr6",652866,"intron"
"chr6_353802","chr6",353802,"exon"
"chr6_404576","chr6",404576,"intron"
"chr6_314396","chr6",314396,"intron"
"chr6_422841","chr6",422841,"intron"
"chr6_750716","chr6",750716,"exon"
"chr6_19833","chr6",19833,"intron"
"chr6_301062","chr6",301062,"noncoding"
"chr6_416239","chr6",416239,"noncoding"
"chr6_363186","chr6",363186,"exon"
"chr6_838960","chr6",838960,"intron"
"chr6_723302","chr6",723302,"exon"
"chr6_998838","chr6",998838,"exon"
"chr6_511607","chr6",511607,"exon"
"chr6_685856","chr6",685856,"intron"
"chr6_648332","chr6",648332,"intron"
"chr6_887283","chr6",887283,"noncoding"
"chr6_140564","chr6",140564,"noncoding"
"chr6_19969","chr6",19969,"exon"
"chr6_570462","chr6",570462,"intron"
"chr6_235722","chr6",235722,"noncoding"
"chr6_154825","chr6",154825,"intron"
"chr6_763056","chr6",763056,"noncoding"
"chr6_591615","chr6",591615,"noncoding"
"chr6_709986","chr6",709986,"intron"
"chr6_107655","chr6",107655,"exon"
"chr6_735063","chr6",735063,"intron"
"chr6_370760","chr6",370760,"intron"
"chr6_601090","chr6",601090,"noncoding"
"chr6_995410","chr6",995410,"intron"
"chr6_26436","chr6",26436,"exon"
"chr6_428877","chr6",428877,"intron"
"chr6_247534","chr6",247534,"noncoding"
"chr6_54730","chr6",54730,"intron"
"chr6_53113","chr6",53113,"intron"
"chr6_796807","chr6",796807,"exon"
"chr6_957472","chr6",957472,"intron"
"chr6_234346","chr6",234346,"intron"
"chr6_421792","chr6",421792,"exon"
"chr6_945819","chr6",945819,"intron"
"chr6_979175","chr6",979175,"noncoding"
"chr6_252083","chr6",252083,"exon"
"chr6_136737","chr6",136737,"intron"
"chr6_281856","chr6",281856,"intron"
"chr6_89021","chr6",89021,"intron"
"chr6_818982","chr6",818982,"exon"
"chr6_258850","chr6",258850,"noncoding"
"chr6_269068","chr6",269068,"noncoding"
"chr6_387988","chr6",387988,"noncoding"
"chr6_514359","chr6",514359,"noncoding"
"chr6_135545","chr6",135545,"noncoding"
"chr6_491727","chr6",491727,"noncoding"
"chr6_432055","chr6",432055,"intron"
"chr6_374570","chr6",374570,"noncoding"
"chr6_964439","chr6",964439,"intron"
"chr6_143766","chr6",143766,"intron"
"chr6_99008","chr6",99008,"intron"
"chr6_220567","chr6",220567,"exon"
"chr6_207616","chr6",207616,"noncoding"
"chr6_536400","chr6",536400,"exon"
"chr6_683044","chr6",683044,"noncoding"
"chr6_612847","chr6",612847,"exon"
"chr6_970125","chr6",970125,"exon"
"chr6_748574","chr6",748574,"exon"
"chr6_445083","chr6",445083,"noncoding"
"chr6_994066","chr6",994066,"intron"
"chr6_948454","chr6",948454,"noncoding"
"chr6_810088","chr6",810088,"intron"
"chr6_463741","chr6",463741,"intron"
"chr6_129245","chr6",129245,"noncoding"
"chr6_530375","chr6",530375,"intron"
"chr6_897340","chr6",897340,"exon"
"chr6_374867","chr6",374867,"noncoding"
"chr6_756062","chr6",756062,"exon"
"chr6_71076","chr6",71076,"noncoding"
"chr6_924636","chr6",924636,"exon"
"chr6_16010","chr6",16010,"noncoding"
"chr6_467916","chr6",467916,"noncoding"
"chr6_482056","chr6",482056,"intron"
"chr6_584672","chr6",584672,"noncoding"
"chr6_341999","chr6",341999,"intron"
"chr6_954742","chr6",954742,"intron"
"chr6_966230","chr6",966230,"intron"
"chr6_808154","chr6",808154,"exon"
"chr6_699609","chr6",699609,"exon"
"chr6_706565","chr6",706565,"noncoding"
"chr6_727794","chr6",727794,"intron"
"chr6_204018","chr6",204018,"exon"
"chr6_43008","chr6",43008,"intron"
"chr6_658452","chr6",658452,"noncoding"
"chr6_683626","chr6",683626,"intron"
"chr6_418566","chr6",418566,"noncoding"
"chr6_358195","chr6",358195,"intron"
"chr6_709857","chr6",709857,"exon"
"chr6_799907","chr6",799907,"noncoding"
"chr7_142746","chr7",142746,"intron"
"chr7_502591","chr7",502591,"exon"
"chr7_304110","chr7",304110,"noncoding"
"chr7_356595","chr7",356595,"exon"
"chr7_999325","chr7",999325,"exon"
"chr7_424945","chr7",424945,"noncoding"
"chr7_946477","chr7",946477,"exon"
"chr7_257032","chr7",257032,"noncoding"
"chr7_147341","chr7",147341,"intron"
"chr7_63477","chr7",63477,"exon"
"chr7_760871","chr7",760871,"noncoding"
"chr7_711748","chr7",711748,"intron"
"chr7_306393","chr7",306393,"noncoding"
"chr7_572734","chr7",572734,"exon"
"chr7_802843","chr7",802843,"intron"
"chr7_402356","chr7",402356,"intron"
"chr7_410177","chr7",410177,"exon"
"chr7_288756","chr7",288756,"noncoding"
"chr7_463149","chr7",463149,"noncoding"
"chr7_338882","chr7",338882,"intron"
"chr7_175563","chr7",175563,"intron"
"chr7_920139","chr7",920139,"exon"
"chr7_906063","chr7",906063,"intron"
"chr7_492620","chr7",492620,"intron"
"chr7_208010","chr7",208010,"intron"
"chr7_633093","chr7",633093,"intron"
"chr7_714873","chr7",714873,"noncoding"
"chr7_112574","chr7",112574,"intron"
"chr7_792845","chr7",792845,"noncoding"
"chr7_315829","chr7",315829,"noncoding"
"chr7_752928","chr7",752928,"intron"
"chr7_34329","chr7",34329,"intron"
"chr7_428873","chr7",428873,"intron"
"chr7_440200","chr7",440200,"intron"
"chr7_970665","chr7",970665,"noncoding"
"chr7_653606","chr7",653606,"intron"
"chr7_575028","chr7",575028,"exon"
"chr7_401519","chr7",401519,"intron"
"chr7_65211","chr7",65211,"intron"
"chr7_807014","chr7",807014,"noncoding"
"chr7_20514","chr7",20514,"exon"
"chr7_256678","chr7",256678,"intron"
"chr7_153761","chr7",153761,"intron"
"chr7_356667","chr7",356667,"noncoding"
"chr7_648052","chr7",648052,"intron"
"chr7_89522","chr7",89522,"exon"
"chr7_843405","chr7",843405,"exon"
"chr7_387976","chr7",387976,"exon"
"chr7_489663","chr7",489663,"noncoding"
"chr7_194321","chr7",194321,"exon"
"chr7_386884","chr7",386884,"intron"
"chr7_139511","chr7",139511,"noncoding"
"chr7_230503","chr7",230503,"noncoding"
"chr7_84043","chr7",84043,"intron"
"chr7_425868","chr7",425868,"intron"
"chr7_473799","chr7",473799,"noncoding"
"chr7_609030","chr7",609030,"intron"
"chr7_454269","chr7",454269,"intron"
"chr7_484730","chr7",484730,"noncoding"
"chr7_623450","chr7",623450,"intron"
"chr7_916727","chr7",916727,"intron"
"chr7_61031","chr7",61031,"noncoding"
"chr7_165862","chr7",165862,"exon"
"chr7_863576","chr7",863576,"noncoding"
"chr7_402984","chr7",402984,"intron"
"chr7_726702","chr7",726702,"intron"
"chr7_509947","chr7",509947,"exon"
"chr7_482984","chr7",482984,"intron"
"chr7_30222","chr7",30222,"noncoding"
"chr7_298712","chr7",298712,"noncoding"
"chr7_635264","chr7",635264,"noncoding"
"chr7_930496","chr7",930496,"intron"
"chr7_343492","chr7",343492,"noncoding"
"chr7_366093","chr7",366093,"noncoding"
"chr7_643764","chr7",643764,"exon"
